question,database,output,type,cypher,explanation,syntax_error,timeout,returns_results,no_cypher
What are the taglines of movies directed by people born before 1960? Limit to 3.,movies,"<explanation>
This query will find all directors born before 1960, match their directed movies, and then return the taglines of those movies, limiting the result to the top 3.

1. **MATCH (p:Person)-[:DIRECTED]->(m:Movie)**: This part finds all Person nodes who have a DIRECTED relationship to a Movie node, creating a paired list of directors and their movies. 
2. **WHERE p.born < 1960**:  This filters the list of directors, keeping only those born before 1960.
3. **RETURN DISTINCT m.tagline LIMIT 3**: This returns the taglines of the movies directed by the filtered directors, limiting the results to the first three distinct taglines.
</explanation>
```cypher
MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE p.born < 1960
RETURN DISTINCT m.tagline LIMIT 3
```",Evaluation query,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE p.born < 1960
RETURN DISTINCT m.tagline LIMIT 3","This query will find all directors born before 1960, match their directed movies, and then return the taglines of those movies, limiting the result to the top 3.

1. **MATCH (p:Person)-[:DIRECTED]->(m:Movie)**: This part finds all Person nodes who have a DIRECTED relationship to a Movie node, creating a paired list of directors and their movies. 
2. **WHERE p.born < 1960**:  This filters the list of directors, keeping only those born before 1960.
3. **RETURN DISTINCT m.tagline LIMIT 3**: This returns the taglines of the movies directed by the filtered directors, limiting the results to the first three distinct taglines.",False,False,True,False
Find the number of votes for the movies released before 1980. Limit to 5.,movies,"<explanation>
1. **Find movies released before 1980:** We start by matching all ""Movie"" nodes with the ""released"" property less than 1980.
2. **Get the number of votes for each movie:** We use the ""votes"" property of the ""Movie"" nodes.
3. **Limit the result to 5:** We use the ""LIMIT"" clause to restrict the number of results to 5.

```cypher
MATCH (m:Movie)
WHERE m.released < 1980
RETURN m.title, m.votes
LIMIT 5
```
</explanation>
```cypher
MATCH (m:Movie)
WHERE m.released < 1980
RETURN m.title, m.votes
LIMIT 5
```",Evaluation query,"MATCH (m:Movie)
WHERE m.released < 1980
RETURN m.title, m.votes
LIMIT 5","1. **Find movies released before 1980:** We start by matching all ""Movie"" nodes with the ""released"" property less than 1980.
2. **Get the number of votes for each movie:** We use the ""votes"" property of the ""Movie"" nodes.
3. **Limit the result to 5:** We use the ""LIMIT"" clause to restrict the number of results to 5.

```cypher
MATCH (m:Movie)
WHERE m.released < 1980
RETURN m.title, m.votes
LIMIT 5
```",False,False,True,False
What are the roles of people born after 1960 in movies released after 2000? Limit to 3.,movies,"<explanation>
This query starts by matching people born after 1960 and movies released after 2000. It then matches when these people have acted in these movies. The query returns the person's name, the movie title, and the roles they played. Finally, the query limits the result to 3.
</explanation>
```cypher
MATCH (p:Person)-[ai:ACTED_IN]->(m:Movie)
WHERE p.born > 1960 AND m.released > 2000
RETURN p.name, m.title, ai.roles
LIMIT 3
```",Evaluation query,"MATCH (p:Person)-[ai:ACTED_IN]->(m:Movie)
WHERE p.born > 1960 AND m.released > 2000
RETURN p.name, m.title, ai.roles
LIMIT 3","This query starts by matching people born after 1960 and movies released after 2000. It then matches when these people have acted in these movies. The query returns the person's name, the movie title, and the roles they played. Finally, the query limits the result to 3.",False,False,True,False
Which movies released between 1990 and 2000 have less than 200 votes? Limit to 3.,movies,"<explanation>
This query looks for movies released between 1990 and 2000 with less than 200 votes and returns the title of those movies. 
1. **MATCH Clause:** We start by matching all `Movie` nodes.
2. **WHERE Clause:** We filter these movies based on the `released` property and the `votes` property.
3. **WITH Clause:** We use `WITH` to pass the filtered movies to the next part of the query.
4. **RETURN Clause:** We return the `title` of the movie.
5. **LIMIT Clause:** We limit the returned results to 3.
</explanation>
```cypher
MATCH (m:Movie)
WHERE 1990 <= m.released <= 2000 AND m.votes < 200
WITH m
RETURN m.title
LIMIT 3
```",Evaluation query,"MATCH (m:Movie)
WHERE 1990 <= m.released <= 2000 AND m.votes < 200
WITH m
RETURN m.title
LIMIT 3","This query looks for movies released between 1990 and 2000 with less than 200 votes and returns the title of those movies. 
1. **MATCH Clause:** We start by matching all `Movie` nodes.
2. **WHERE Clause:** We filter these movies based on the `released` property and the `votes` property.
3. **WITH Clause:** We use `WITH` to pass the filtered movies to the next part of the query.
4. **RETURN Clause:** We return the `title` of the movie.
5. **LIMIT Clause:** We limit the returned results to 3.",False,False,True,False
"Find the born years of people who acted in movies with ""The"" in the title. Limit to 3.",movies,"<explanation>
1. **Match actors who acted in movies with ""The"" in the title:** 
   - Match nodes with the label ""Person"" and assign them to the variable ""p"".
   - Traverse the ""ACTED_IN"" relationship to find movies they acted in. 
   - Filter the movies to include only those where the title property contains ""The"".
2. **Return the born year of the actors and limit to 3:**
   - Return the ""born"" property of the actors ""p"".
   - Limit the results to 3.
</explanation>
```cypher
MATCH (p:Person)-[:ACTED_IN]->(m:Movie)
WHERE m.title CONTAINS 'The'
RETURN p.born
LIMIT 3
```",Evaluation query,"MATCH (p:Person)-[:ACTED_IN]->(m:Movie)
WHERE m.title CONTAINS 'The'
RETURN p.born
LIMIT 3","1. **Match actors who acted in movies with ""The"" in the title:** 
   - Match nodes with the label ""Person"" and assign them to the variable ""p"".
   - Traverse the ""ACTED_IN"" relationship to find movies they acted in. 
   - Filter the movies to include only those where the title property contains ""The"".
2. **Return the born year of the actors and limit to 3:**
   - Return the ""born"" property of the actors ""p"".
   - Limit the results to 3.",False,False,True,False
What are the release years of movies directed by people born after 1960? Limit to 3.,movies,"<explanation>
1. **MATCH** all people born after 1960 and have directed in movies
2. **WITH** the movie nodes
3. **RETURN** the distinct release years of the movies
4. **LIMIT** the result to 3

```cypher
MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE p.born > 1960
WITH DISTINCT m.released AS releaseYear
RETURN releaseYear
LIMIT 3
```
</explanation>
```cypher
MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE p.born > 1960
WITH DISTINCT m.released AS releaseYear
RETURN releaseYear
LIMIT 3
```",Evaluation query,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE p.born > 1960
WITH DISTINCT m.released AS releaseYear
RETURN releaseYear
LIMIT 3","1. **MATCH** all people born after 1960 and have directed in movies
2. **WITH** the movie nodes
3. **RETURN** the distinct release years of the movies
4. **LIMIT** the result to 3

```cypher
MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE p.born > 1960
WITH DISTINCT m.released AS releaseYear
RETURN releaseYear
LIMIT 3
```",False,False,True,False
List the names of people who wrote and produced the same movie. Limit to 5.,movies,"<explanation>
This query looks for people who have both WRITTEN and PRODUCED relationships with the same movie. 

1. **MATCH (p:Person)-[:WROTE]->(m:Movie)<-[:PRODUCED]-(p)**: This part of the query matches people who have both WRITTEN and PRODUCED relationships with the same movie.
2. **RETURN DISTINCT p.name LIMIT 5**: This part of the query returns the names of the people found in the previous step and limits the result to the top 5.

</explanation>
```cypher
MATCH (p:Person)-[:WROTE]->(m:Movie)<-[:PRODUCED]-(p)
RETURN DISTINCT p.name LIMIT 5
```",Evaluation query,"MATCH (p:Person)-[:WROTE]->(m:Movie)<-[:PRODUCED]-(p)
RETURN DISTINCT p.name LIMIT 5","This query looks for people who have both WRITTEN and PRODUCED relationships with the same movie. 

1. **MATCH (p:Person)-[:WROTE]->(m:Movie)<-[:PRODUCED]-(p)**: This part of the query matches people who have both WRITTEN and PRODUCED relationships with the same movie.
2. **RETURN DISTINCT p.name LIMIT 5**: This part of the query returns the names of the people found in the previous step and limits the result to the top 5.",False,False,True,False
Which movies acted in by Laurence Fishburne were released before 2000? Limit to 3.,movies,"<explanation>
This Cypher query first matches all `Person` nodes with the name 'Laurence Fishburne'. Then, it traverses the `ACTED_IN` relationships to find all movies in which Laurence Fishburne acted. The `WHERE` clause filters these movies to only include those released before the year 2000. Finally, the query returns the titles of these movies, limited to the top 3 results.
</explanation>
```cypher
MATCH (p:Person {name: 'Laurence Fishburne'})-[:ACTED_IN]->(m:Movie)
WHERE m.released < 2000
RETURN m.title
LIMIT 3
```",Evaluation query,"MATCH (p:Person {name: 'Laurence Fishburne'})-[:ACTED_IN]->(m:Movie)
WHERE m.released < 2000
RETURN m.title
LIMIT 3","This Cypher query first matches all `Person` nodes with the name 'Laurence Fishburne'. Then, it traverses the `ACTED_IN` relationships to find all movies in which Laurence Fishburne acted. The `WHERE` clause filters these movies to only include those released before the year 2000. Finally, the query returns the titles of these movies, limited to the top 3 results.",False,False,True,False
"What are the taglines of movies reviewed with ""amazing"" in the summary? Limit to 3.",movies,"<explanation>
1. We start by matching on the `REVIEWED` relationships that have a summary containing ""amazing"".
2. We then traverse to the `Movie` nodes connected by these relationships.
3. We return the `tagline` property of these movies and limit to 3 results.

```cypher
MATCH (:Person)-[r:REVIEWED]->(m:Movie)
WHERE toLower(r.summary) CONTAINS 'amazing'
RETURN m.tagline
LIMIT 3
```
</explanation>
```cypher
MATCH (:Person)-[r:REVIEWED]->(m:Movie)
WHERE toLower(r.summary) CONTAINS 'amazing'
RETURN m.tagline
LIMIT 3
```",Evaluation query,"MATCH (:Person)-[r:REVIEWED]->(m:Movie)
WHERE toLower(r.summary) CONTAINS 'amazing'
RETURN m.tagline
LIMIT 3","1. We start by matching on the `REVIEWED` relationships that have a summary containing ""amazing"".
2. We then traverse to the `Movie` nodes connected by these relationships.
3. We return the `tagline` property of these movies and limit to 3 results.

```cypher
MATCH (:Person)-[r:REVIEWED]->(m:Movie)
WHERE toLower(r.summary) CONTAINS 'amazing'
RETURN m.tagline
LIMIT 3
```",False,False,True,False
Find the number of votes for movies reviewed with a rating greater than 90. Limit to 5.,movies,"<explanation>
This query starts by matching all `REVIEWED` relationships with a rating property greater than 90. Then, it returns the count of votes for those movies, limiting the result to 5.

1. **MATCH (p:Person)-[r:REVIEWED]->(m:Movie)**: This matches all relationships of type `REVIEWED` between nodes labeled `Person` and `Movie`.
2. **WHERE r.rating > 90**: This filters the matched relationships, keeping only those where the `rating` property is greater than 90.
3. **WITH m.votes AS votes**: This uses WITH to aggregate the results, passing the `votes` property of the movie nodes to the next part of the query.
4. **RETURN votes LIMIT 5**: This returns the `votes` property. The `LIMIT` clause limits the number of returned records to a maximum of 5.
</explanation>
```cypher
MATCH (p:Person)-[r:REVIEWED]->(m:Movie)
WHERE r.rating > 90
WITH m.votes AS votes
RETURN votes LIMIT 5
```",Evaluation query,"MATCH (p:Person)-[r:REVIEWED]->(m:Movie)
WHERE r.rating > 90
WITH m.votes AS votes
RETURN votes LIMIT 5","This query starts by matching all `REVIEWED` relationships with a rating property greater than 90. Then, it returns the count of votes for those movies, limiting the result to 5.

1. **MATCH (p:Person)-[r:REVIEWED]->(m:Movie)**: This matches all relationships of type `REVIEWED` between nodes labeled `Person` and `Movie`.
2. **WHERE r.rating > 90**: This filters the matched relationships, keeping only those where the `rating` property is greater than 90.
3. **WITH m.votes AS votes**: This uses WITH to aggregate the results, passing the `votes` property of the movie nodes to the next part of the query.
4. **RETURN votes LIMIT 5**: This returns the `votes` property. The `LIMIT` clause limits the number of returned records to a maximum of 5.",False,False,True,False
What are the roles of Tom Hanks in movies released after 1990? Limit to 3.,movies,"<explanation>
This query starts with finding the node with name ""Tom Hanks"", then traverses ACTED_IN relationships to find movies he acted in. It filters these movies to those released after 1990, and then returns the movie title and the roles Tom Hanks played in each. Finally it limits the result set to 3 records.

```cypher
MATCH (p:Person {name: ""Tom Hanks""})-[:ACTED_IN]->(m:Movie)
WHERE m.released > 1990
RETURN m.title AS movie, m.released AS released, collect(p.roles) AS roles
LIMIT 3
```
</explanation>",Evaluation query,"MATCH (p:Person {name: ""Tom Hanks""})-[:ACTED_IN]->(m:Movie)
WHERE m.released > 1990
RETURN m.title AS movie, m.released AS released, collect(p.roles) AS roles
LIMIT 3","This query starts with finding the node with name ""Tom Hanks"", then traverses ACTED_IN relationships to find movies he acted in. It filters these movies to those released after 1990, and then returns the movie title and the roles Tom Hanks played in each. Finally it limits the result set to 3 records.

```cypher
MATCH (p:Person {name: ""Tom Hanks""})-[:ACTED_IN]->(m:Movie)
WHERE m.released > 1990
RETURN m.title AS movie, m.released AS released, collect(p.roles) AS roles
LIMIT 3
```",False,False,True,False
"List the names of people who produced movies with ""The"" in the title. Limit to 5.",movies,"<explanation>
This Cypher query identifies people who produced movies with ""The"" in the title and returns the top 5 names.

1. **MATCH**: We start by matching all `Person` nodes related to `Movie` nodes through the `PRODUCED` relationship.
2. **WHERE**: We filter these relationships to only include movies where the title contains ""The"".
3. **WITH**: We use `WITH` to pass the filtered `Person` nodes to the next part of the query.
4. **RETURN**: We return the `name` property of the `Person` nodes.
5. **LIMIT**: We limit the results to the top 5.

```cypher
MATCH (p:Person)-[:PRODUCED]->(m:Movie)
WHERE m.title CONTAINS 'The'
WITH p
RETURN p.name
LIMIT 5
```
</explanation>
```cypher
MATCH (p:Person)-[:PRODUCED]->(m:Movie)
WHERE m.title CONTAINS 'The'
WITH p
RETURN p.name
LIMIT 5
```",Evaluation query,"MATCH (p:Person)-[:PRODUCED]->(m:Movie)
WHERE m.title CONTAINS 'The'
WITH p
RETURN p.name
LIMIT 5","This Cypher query identifies people who produced movies with ""The"" in the title and returns the top 5 names.

1. **MATCH**: We start by matching all `Person` nodes related to `Movie` nodes through the `PRODUCED` relationship.
2. **WHERE**: We filter these relationships to only include movies where the title contains ""The"".
3. **WITH**: We use `WITH` to pass the filtered `Person` nodes to the next part of the query.
4. **RETURN**: We return the `name` property of the `Person` nodes.
5. **LIMIT**: We limit the results to the top 5.

```cypher
MATCH (p:Person)-[:PRODUCED]->(m:Movie)
WHERE m.title CONTAINS 'The'
WITH p
RETURN p.name
LIMIT 5
```",False,False,True,False
Which movies released before 1990 were directed by people born after 1940? Limit to 3.,movies,"<explanation>
This query starts by matching all ""Movie"" nodes and ""Person"" nodes that are connected by the ""DIRECTED"" relationship. It then filters these results to only include movies released before 1990 and directors born after 1940. Finally, it returns the titles of the movies that fit these criteria and limits the result set to 3.
</explanation>
```cypher
MATCH (m:Movie)<-[:DIRECTED]-(p:Person)
WHERE m.released < 1990 AND p.born > 1940
RETURN m.title
LIMIT 3
```",Evaluation query,"MATCH (m:Movie)<-[:DIRECTED]-(p:Person)
WHERE m.released < 1990 AND p.born > 1940
RETURN m.title
LIMIT 3","This query starts by matching all ""Movie"" nodes and ""Person"" nodes that are connected by the ""DIRECTED"" relationship. It then filters these results to only include movies released before 1990 and directors born after 1940. Finally, it returns the titles of the movies that fit these criteria and limits the result set to 3.",False,False,True,False
"What are the summaries of reviews with ""fun"" in the summary? Limit to 5.",movies,"<explanation>
This query looks for all `REVIEWED` relationships with the word ""fun"" in the  `summary` property and returns the first 5.

1. **MATCH Clause:** We start by finding all `REVIEWED` relationships.
2. **WHERE Clause:** We filter for relationships where the `summary` property contains ""fun"".
3. **WITH Clause:** We use WITH to avoid implicit aggregation.
4. **RETURN Clause:** We return the `summary` property of the `REVIEWED` relationships. 
5. **LIMIT Clause:** We limit the returned results to 5. 

</explanation>
```cypher
MATCH (:Person)-[r:REVIEWED]->(:Movie)
WHERE toLower(r.summary) CONTAINS ""fun""
WITH r
RETURN r.summary
LIMIT 5
```",Evaluation query,"MATCH (:Person)-[r:REVIEWED]->(:Movie)
WHERE toLower(r.summary) CONTAINS ""fun""
WITH r
RETURN r.summary
LIMIT 5","This query looks for all `REVIEWED` relationships with the word ""fun"" in the  `summary` property and returns the first 5.

1. **MATCH Clause:** We start by finding all `REVIEWED` relationships.
2. **WHERE Clause:** We filter for relationships where the `summary` property contains ""fun"".
3. **WITH Clause:** We use WITH to avoid implicit aggregation.
4. **RETURN Clause:** We return the `summary` property of the `REVIEWED` relationships. 
5. **LIMIT Clause:** We limit the returned results to 5.",False,False,True,False
Find the born years of people who wrote movies with less than 100 votes. Limit to 3.,movies,"<explanation>
1. We start by matching the pattern ""people who wrote movies"" (`(p:Person)-[:WROTE]->(m:Movie)`).
2. We filter the movies based on the condition that they have less than 100 votes (`WHERE m.votes < 100`).
3. We return the born year of each person (`RETURN p.born`) and limit the result set to 3 records (`LIMIT 3`).

```cypher
MATCH (p:Person)-[:WROTE]->(m:Movie)
WHERE m.votes < 100
RETURN p.born
LIMIT 3
```
</explanation>
```cypher
MATCH (p:Person)-[:WROTE]->(m:Movie)
WHERE m.votes < 100
RETURN p.born
LIMIT 3
```",Evaluation query,"MATCH (p:Person)-[:WROTE]->(m:Movie)
WHERE m.votes < 100
RETURN p.born
LIMIT 3","1. We start by matching the pattern ""people who wrote movies"" (`(p:Person)-[:WROTE]->(m:Movie)`).
2. We filter the movies based on the condition that they have less than 100 votes (`WHERE m.votes < 100`).
3. We return the born year of each person (`RETURN p.born`) and limit the result set to 3 records (`LIMIT 3`).

```cypher
MATCH (p:Person)-[:WROTE]->(m:Movie)
WHERE m.votes < 100
RETURN p.born
LIMIT 3
```",False,False,True,False
What are the release years of movies acted in by Hugo Weaving? Limit to 3.,movies,"<explanation>
This query starts by finding the person node with the name 'Hugo Weaving', then traverses the ACTED_IN relationships to find the movies he acted in. Finally, it returns the release year of those movies and limits the result to 3.
</explanation>
```cypher
MATCH (p:Person {name: 'Hugo Weaving'})-[:ACTED_IN]->(m:Movie)
RETURN m.released
LIMIT 3
```",Evaluation query,"MATCH (p:Person {name: 'Hugo Weaving'})-[:ACTED_IN]->(m:Movie)
RETURN m.released
LIMIT 3","This query starts by finding the person node with the name 'Hugo Weaving', then traverses the ACTED_IN relationships to find the movies he acted in. Finally, it returns the release year of those movies and limits the result to 3.",False,False,True,False
List the names of people who directed and acted in the same movie. Limit to 5.,movies,"<explanation>
This query starts by finding all Person nodes that have both DIRECTED and ACTED_IN relationships with the same Movie node. 
It then returns the names of those people, limiting the result set to the top 5.
</explanation>
```cypher
MATCH (p:Person)-[:DIRECTED]->(m:Movie)
MATCH (p)-[:ACTED_IN]->(m)
RETURN p.name
LIMIT 5
```",Evaluation query,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)
MATCH (p)-[:ACTED_IN]->(m)
RETURN p.name
LIMIT 5","This query starts by finding all Person nodes that have both DIRECTED and ACTED_IN relationships with the same Movie node. 
It then returns the names of those people, limiting the result set to the top 5.",False,False,True,False
Which movies released after 2000 were produced by Joel Silver? Limit to 3.,movies,"<explanation>
1. **Start with Joel Silver:** Find the person named ""Joel Silver.""
2. **Traverse PRODUCED relationships:** Follow outgoing `PRODUCED` relationships from Joel Silver to movies he produced.
3. **Filter by release year:** Filter for movies released after the year 2000.
4. **Limit to 3 results:** Limit the returned results to 3 movies.

```cypher
MATCH (p:Person {name: ""Joel Silver""})-[:PRODUCED]->(m:Movie)
WHERE m.released > 2000
RETURN m.title
LIMIT 3
```
</explanation>
```cypher
MATCH (p:Person {name: ""Joel Silver""})-[:PRODUCED]->(m:Movie)
WHERE m.released > 2000
RETURN m.title
LIMIT 3
```",Evaluation query,"MATCH (p:Person {name: ""Joel Silver""})-[:PRODUCED]->(m:Movie)
WHERE m.released > 2000
RETURN m.title
LIMIT 3","1. **Start with Joel Silver:** Find the person named ""Joel Silver.""
2. **Traverse PRODUCED relationships:** Follow outgoing `PRODUCED` relationships from Joel Silver to movies he produced.
3. **Filter by release year:** Filter for movies released after the year 2000.
4. **Limit to 3 results:** Limit the returned results to 3 movies.

```cypher
MATCH (p:Person {name: ""Joel Silver""})-[:PRODUCED]->(m:Movie)
WHERE m.released > 2000
RETURN m.title
LIMIT 3
```",False,False,True,False
What are the taglines of movies reviewed with a rating less than 60? Limit to 3.,movies,"<explanation>
This Cypher query identifies movies with reviews rated less than 60 and returns the taglines of those movies. 

1. **MATCH (m:Movie)<-[r:REVIEWED]-(p:Person)**: This matches all movies (`m`) that have been reviewed (`REVIEWED`) by a person (`p`).
2. **WHERE r.rating < 60**: This filters the matches to only include reviews where the rating is less than 60.
3. **RETURN DISTINCT m.tagline LIMIT 3**: This returns the taglines (`tagline`) of the movies. The `DISTINCT` keyword ensures that only unique taglines are returned. The `LIMIT 3` clause limits the results to the first three.
</explanation>
```cypher
MATCH (m:Movie)<-[r:REVIEWED]-(p:Person)
WHERE r.rating < 60
RETURN DISTINCT m.tagline LIMIT 3
```",Evaluation query,"MATCH (m:Movie)<-[r:REVIEWED]-(p:Person)
WHERE r.rating < 60
RETURN DISTINCT m.tagline LIMIT 3","This Cypher query identifies movies with reviews rated less than 60 and returns the taglines of those movies. 

1. **MATCH (m:Movie)<-[r:REVIEWED]-(p:Person)**: This matches all movies (`m`) that have been reviewed (`REVIEWED`) by a person (`p`).
2. **WHERE r.rating < 60**: This filters the matches to only include reviews where the rating is less than 60.
3. **RETURN DISTINCT m.tagline LIMIT 3**: This returns the taglines (`tagline`) of the movies. The `DISTINCT` keyword ensures that only unique taglines are returned. The `LIMIT 3` clause limits the results to the first three.",False,False,True,False
"Find the number of votes for movies with ""Matrix"" in the title. Limit to 5.",movies,"<explanation>
1. **Match movies with ""Matrix"" in the title**: We start by finding all movies with the word ""Matrix"" in their title.
2. **Get the number of votes**: For each of these movies, we return their number of votes.
3. **Limit the results**: We limit the results to the top 5 movies with the highest vote count.

```cypher
MATCH (m:Movie)
WHERE m.title CONTAINS 'Matrix'
RETURN m.votes
ORDER BY m.votes DESC
LIMIT 5
```
</explanation>
```cypher
MATCH (m:Movie)
WHERE m.title CONTAINS 'Matrix'
RETURN m.votes
ORDER BY m.votes DESC
LIMIT 5
```",Evaluation query,"MATCH (m:Movie)
WHERE m.title CONTAINS 'Matrix'
RETURN m.votes
ORDER BY m.votes DESC
LIMIT 5","1. **Match movies with ""Matrix"" in the title**: We start by finding all movies with the word ""Matrix"" in their title.
2. **Get the number of votes**: For each of these movies, we return their number of votes.
3. **Limit the results**: We limit the results to the top 5 movies with the highest vote count.

```cypher
MATCH (m:Movie)
WHERE m.title CONTAINS 'Matrix'
RETURN m.votes
ORDER BY m.votes DESC
LIMIT 5
```",False,False,True,False
What are the roles of Keanu Reeves in movies released after 1995? Limit to 3.,movies,"<explanation>
1. **Find Keanu Reeves:** Start by finding the ""Person"" node with the name ""Keanu Reeves.""
2. **Match Movies:** Traverse the ""ACTED_IN"" relationships from Keanu Reeves to the ""Movie"" nodes.
3. **Filter by Release Year:** Filter these movies to only include those released after 1995.
4. **Return Roles:**  For the remaining movies, return the `roles` property of the ""ACTED_IN"" relationships.
5. **Limit results:** Limit the returned results to 3.

```cypher
MATCH (p:Person {name: 'Keanu Reeves'})-[:ACTED_IN]->(m:Movie)
WHERE m.released > 1995
RETURN m.title AS movieTitle, collect(m.released) AS released, collect(m.tagline) AS taglines, collect(m.votes) AS votes
LIMIT 3
```
</explanation>",Evaluation query,"MATCH (p:Person {name: 'Keanu Reeves'})-[:ACTED_IN]->(m:Movie)
WHERE m.released > 1995
RETURN m.title AS movieTitle, collect(m.released) AS released, collect(m.tagline) AS taglines, collect(m.votes) AS votes
LIMIT 3","1. **Find Keanu Reeves:** Start by finding the ""Person"" node with the name ""Keanu Reeves.""
2. **Match Movies:** Traverse the ""ACTED_IN"" relationships from Keanu Reeves to the ""Movie"" nodes.
3. **Filter by Release Year:** Filter these movies to only include those released after 1995.
4. **Return Roles:**  For the remaining movies, return the `roles` property of the ""ACTED_IN"" relationships.
5. **Limit results:** Limit the returned results to 3.

```cypher
MATCH (p:Person {name: 'Keanu Reeves'})-[:ACTED_IN]->(m:Movie)
WHERE m.released > 1995
RETURN m.title AS movieTitle, collect(m.released) AS released, collect(m.tagline) AS taglines, collect(m.votes) AS votes
LIMIT 3
```",False,False,True,False
"Which movies released before 2000 were reviewed with ""compelling"" in the summary? Limit to 3.",movies,"<explanation>
1. **Find movies released before 2000:** We start by matching all `Movie` nodes with the `released` property less than 2000.
2. **Match reviewed relationships:** Then, we match the `REVIEWED` relationships originating from any `Person` node to these movies.
3. **Filter by review summary:** We filter these relationships, keeping only those where the `summary` property contains the word ""compelling"".
4. **Return the movie titles:** Finally, we return the `title` property of the `Movie` nodes connected to the filtered relationships.
5. **Limit the results:** We use `LIMIT` to restrict the output to a maximum of 3 movie titles.

```cypher
MATCH (m:Movie)<-[r:REVIEWED]-(:Person)
WHERE m.released < 2000 AND r.summary CONTAINS 'compelling'
RETURN m.title
LIMIT 3
```
</explanation>
```cypher
MATCH (m:Movie)<-[r:REVIEWED]-(:Person)
WHERE m.released < 2000 AND r.summary CONTAINS 'compelling'
RETURN m.title
LIMIT 3
```",Evaluation query,"MATCH (m:Movie)<-[r:REVIEWED]-(:Person)
WHERE m.released < 2000 AND r.summary CONTAINS 'compelling'
RETURN m.title
LIMIT 3","1. **Find movies released before 2000:** We start by matching all `Movie` nodes with the `released` property less than 2000.
2. **Match reviewed relationships:** Then, we match the `REVIEWED` relationships originating from any `Person` node to these movies.
3. **Filter by review summary:** We filter these relationships, keeping only those where the `summary` property contains the word ""compelling"".
4. **Return the movie titles:** Finally, we return the `title` property of the `Movie` nodes connected to the filtered relationships.
5. **Limit the results:** We use `LIMIT` to restrict the output to a maximum of 3 movie titles.

```cypher
MATCH (m:Movie)<-[r:REVIEWED]-(:Person)
WHERE m.released < 2000 AND r.summary CONTAINS 'compelling'
RETURN m.title
LIMIT 3
```",False,False,True,False
"What are the summaries of reviews for movies with ""The"" in the title? Limit to 5.",movies,"<explanation>
1. **Find movies with ""The"" in the title:** We can use `MATCH (m:Movie)` to find all movies and then filter using `WHERE m.title CONTAINS 'The'` to only keep those with ""The"" in the title.
2. **Find the reviews for those movies:** We can use `MATCH (p:Person)-[r:REVIEWED]->(m)` to find all `REVIEWED` relationships connected to the movies we found in the previous step.
3. **Return the summaries:** We can use `RETURN r.summary` to return the summary of each review.
4. **Limit to 5 results:** We can use `LIMIT 5` to limit the number of returned results to 5.

```cypher
MATCH (m:Movie)
WHERE m.title CONTAINS 'The'
MATCH (p:Person)-[r:REVIEWED]->(m)
RETURN r.summary
LIMIT 5
```
</explanation>
```cypher
MATCH (m:Movie)
WHERE m.title CONTAINS 'The'
MATCH (p:Person)-[r:REVIEWED]->(m)
RETURN r.summary
LIMIT 5
```",Evaluation query,"MATCH (m:Movie)
WHERE m.title CONTAINS 'The'
MATCH (p:Person)-[r:REVIEWED]->(m)
RETURN r.summary
LIMIT 5","1. **Find movies with ""The"" in the title:** We can use `MATCH (m:Movie)` to find all movies and then filter using `WHERE m.title CONTAINS 'The'` to only keep those with ""The"" in the title.
2. **Find the reviews for those movies:** We can use `MATCH (p:Person)-[r:REVIEWED]->(m)` to find all `REVIEWED` relationships connected to the movies we found in the previous step.
3. **Return the summaries:** We can use `RETURN r.summary` to return the summary of each review.
4. **Limit to 5 results:** We can use `LIMIT 5` to limit the number of returned results to 5.

```cypher
MATCH (m:Movie)
WHERE m.title CONTAINS 'The'
MATCH (p:Person)-[r:REVIEWED]->(m)
RETURN r.summary
LIMIT 5
```",False,False,True,False
