question,database,output,type,cypher,explanation
What are the taglines of movies produced by people born before 1960? Limit to 3.,movies,"<explanation>
1. **Start with the `Person` nodes where `born` property is less than 1960.**
2. **Traverse the `PRODUCED` relationship to reach the related `Movie` nodes.**
3. **Return the `tagline` property of the `Movie` nodes.**
4. **Limit the returned results to 3.**

```cypher
MATCH (p:Person)-[:PRODUCED]->(m:Movie)
WHERE p.born < 1960
RETURN m.tagline
LIMIT 3
```
</explanation>
```cypher
MATCH (p:Person)-[:PRODUCED]->(m:Movie)
WHERE p.born < 1960
RETURN m.tagline
LIMIT 3
```
",Evaluation query,"MATCH (p:Person)-[:PRODUCED]->(m:Movie)
WHERE p.born < 1960
RETURN m.tagline
LIMIT 3","1. **Start with the `Person` nodes where `born` property is less than 1960.**
2. **Traverse the `PRODUCED` relationship to reach the related `Movie` nodes.**
3. **Return the `tagline` property of the `Movie` nodes.**
4. **Limit the returned results to 3.**

```cypher
MATCH (p:Person)-[:PRODUCED]->(m:Movie)
WHERE p.born < 1960
RETURN m.tagline
LIMIT 3
```"
Find the number of votes for movies released in 1995. Limit to 5.,movies,"<explanation>
This query identifies movies released in 1995, calculates the total votes for those movies, and limits the result set to 5. 

1. **MATCH Clause:** We start by matching all `Movie` nodes.
2. **WHERE Clause:** We filter for movies where the `released` property is 1995.
3. **WITH Clause:** We use `WITH` to pass the filtered movies to the next part of the query.
4. **RETURN Clause:** We return the count of votes for the movies.
5. **LIMIT Clause:** We limit the number of results returned to 5.

</explanation>
```cypher
MATCH (m:Movie)
WHERE m.released = 1995
WITH m, sum(m.votes) AS totalVotes
RETURN totalVotes
LIMIT 5
```",Evaluation query,"MATCH (m:Movie)
WHERE m.released = 1995
WITH m, sum(m.votes) AS totalVotes
RETURN totalVotes
LIMIT 5","This query identifies movies released in 1995, calculates the total votes for those movies, and limits the result set to 5. 

1. **MATCH Clause:** We start by matching all `Movie` nodes.
2. **WHERE Clause:** We filter for movies where the `released` property is 1995.
3. **WITH Clause:** We use `WITH` to pass the filtered movies to the next part of the query.
4. **RETURN Clause:** We return the count of votes for the movies.
5. **LIMIT Clause:** We limit the number of results returned to 5."
What are the roles of Hugo Weaving in movies released before 2000? Limit to 3.,movies,"<explanation>
1. We start by matching the person named ""Hugo Weaving"".
2. Then we traverse the `ACTED_IN` relationship to find the movies in which he acted.
3. We filter those movies to only include those released before the year 2000.
4. Finally, we return the movie title and the roles played by Hugo Weaving, limiting the result to the top 3.

```cypher
MATCH (p:Person {name: ""Hugo Weaving""})-[:ACTED_IN]->(m:Movie)
WHERE m.released < 2000
RETURN m.title AS movieTitle, m.released AS movieReleased, collect(m.tagline) AS movieTagline, collect(p.name) AS actorName, collect(m.votes) AS movieVotes
LIMIT 3
```
</explanation>",Evaluation query,"MATCH (p:Person {name: ""Hugo Weaving""})-[:ACTED_IN]->(m:Movie)
WHERE m.released < 2000
RETURN m.title AS movieTitle, m.released AS movieReleased, collect(m.tagline) AS movieTagline, collect(p.name) AS actorName, collect(m.votes) AS movieVotes
LIMIT 3","1. We start by matching the person named ""Hugo Weaving"".
2. Then we traverse the `ACTED_IN` relationship to find the movies in which he acted.
3. We filter those movies to only include those released before the year 2000.
4. Finally, we return the movie title and the roles played by Hugo Weaving, limiting the result to the top 3.

```cypher
MATCH (p:Person {name: ""Hugo Weaving""})-[:ACTED_IN]->(m:Movie)
WHERE m.released < 2000
RETURN m.title AS movieTitle, m.released AS movieReleased, collect(m.tagline) AS movieTagline, collect(p.name) AS actorName, collect(m.votes) AS movieVotes
LIMIT 3
```"
"List the names of people who followed someone who directed ""Apollo 13"". Limit to 5.",movies,"<explanation>
This query first finds the person who directed ""Apollo 13"" then continues to anyone who follows that person. Finally, we return the names of those followers and limit to the first 5 results. 
</explanation>
```cypher
MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: ""Apollo 13""})
MATCH (p:Person)-[:FOLLOWS]->(d)
RETURN p.name
LIMIT 5
```",Evaluation query,"MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: ""Apollo 13""})
MATCH (p:Person)-[:FOLLOWS]->(d)
RETURN p.name
LIMIT 5","This query first finds the person who directed ""Apollo 13"" then continues to anyone who follows that person. Finally, we return the names of those followers and limit to the first 5 results."
"Which movies released after 2005 were reviewed with ""amazing"" in the summary? Limit to 3.",movies,"<explanation>
1. **Find movies released after 2005:** We start by finding all movies with a `released` property greater than 2005.
2. **Match reviewed relationships:** We then match these movies to `REVIEWED` relationships.
3. **Filter reviews with ""amazing"" in the summary:** We filter these relationships based on whether the `summary` property contains the word ""amazing"".
4. **Return the movie titles:** Finally, we return the `title` property of the movies that meet all the criteria. 
5. **Limit to 3:** We limit the returned results to 3 movies.

```cypher
MATCH (m:Movie)
WHERE m.released > 2005
MATCH (p:Person)-[r:REVIEWED]->(m)
WHERE r.summary CONTAINS 'amazing'
RETURN m.title
LIMIT 3
```
</explanation>
```cypher
MATCH (m:Movie)
WHERE m.released > 2005
MATCH (p:Person)-[r:REVIEWED]->(m)
WHERE r.summary CONTAINS 'amazing'
RETURN m.title
LIMIT 3
```",Evaluation query,"MATCH (m:Movie)
WHERE m.released > 2005
MATCH (p:Person)-[r:REVIEWED]->(m)
WHERE r.summary CONTAINS 'amazing'
RETURN m.title
LIMIT 3","1. **Find movies released after 2005:** We start by finding all movies with a `released` property greater than 2005.
2. **Match reviewed relationships:** We then match these movies to `REVIEWED` relationships.
3. **Filter reviews with ""amazing"" in the summary:** We filter these relationships based on whether the `summary` property contains the word ""amazing"".
4. **Return the movie titles:** Finally, we return the `title` property of the movies that meet all the criteria. 
5. **Limit to 3:** We limit the returned results to 3 movies.

```cypher
MATCH (m:Movie)
WHERE m.released > 2005
MATCH (p:Person)-[r:REVIEWED]->(m)
WHERE r.summary CONTAINS 'amazing'
RETURN m.title
LIMIT 3
```"
What are the summaries of reviews for movies produced by Joel Silver? Limit to 5.,movies,"<explanation>
1. **Find the person named ""Joel Silver"".**
2. **Traverse the PRODUCED relationships from that person to the movies they produced.**
3. **Traverse the REVIEWED relationships from those movies to the reviews.**
4. **Return the summary of each review.**
5. **Limit the results to 5.**

```cypher
MATCH (p:Person {name: ""Joel Silver""})-[:PRODUCED]->(m:Movie)<-[r:REVIEWED]-(reviewer:Person)
RETURN r.summary
LIMIT 5
```
</explanation>
```cypher
MATCH (p:Person {name: ""Joel Silver""})-[:PRODUCED]->(m:Movie)<-[r:REVIEWED]-(reviewer:Person)
RETURN r.summary
LIMIT 5
```",Evaluation query,"MATCH (p:Person {name: ""Joel Silver""})-[:PRODUCED]->(m:Movie)<-[r:REVIEWED]-(reviewer:Person)
RETURN r.summary
LIMIT 5","1. **Find the person named ""Joel Silver"".**
2. **Traverse the PRODUCED relationships from that person to the movies they produced.**
3. **Traverse the REVIEWED relationships from those movies to the reviews.**
4. **Return the summary of each review.**
5. **Limit the results to 5.**

```cypher
MATCH (p:Person {name: ""Joel Silver""})-[:PRODUCED]->(m:Movie)<-[r:REVIEWED]-(reviewer:Person)
RETURN r.summary
LIMIT 5
```"
Find the born years of people who wrote movies released in 1995. Limit to 3.,movies,"<explanation>
This query starts by finding movies released in 1995. Then it traverses the `:WROTE` relationships backwards to find the people who wrote those movies. Finally, it returns the birth year of those people and limits the result to 3. 
</explanation>
```cypher
MATCH (m:Movie {released: 1995})<-[:WROTE]-(p:Person)
RETURN p.born
LIMIT 3
```",Evaluation query,"MATCH (m:Movie {released: 1995})<-[:WROTE]-(p:Person)
RETURN p.born
LIMIT 3","This query starts by finding movies released in 1995. Then it traverses the `:WROTE` relationships backwards to find the people who wrote those movies. Finally, it returns the birth year of those people and limits the result to 3."
What are the release years of movies directed by people born before 1940? Limit to 3. (Likely no results based on provided data),movies,"<explanation>
1. **Start with Person nodes:** We begin by matching all `Person` nodes.
2. **Filter by birth year:** We filter these `Person` nodes based on their `born` property being less than 1940.
3. **Match to directed movies:** We traverse the `DIRECTED` relationship from these filtered `Person` nodes to the `Movie` nodes.
4. **Return the release years:** We return the distinct release years (`released` property) of these movies.
5. **Limit to 3:** We limit the returned results to a maximum of 3.

```cypher
MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE p.born < 1940
RETURN DISTINCT m.released AS ReleaseYear
LIMIT 3
```
</explanation>
```cypher
MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE p.born < 1940
RETURN DISTINCT m.released AS ReleaseYear
LIMIT 3
```",Evaluation query,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE p.born < 1940
RETURN DISTINCT m.released AS ReleaseYear
LIMIT 3","1. **Start with Person nodes:** We begin by matching all `Person` nodes.
2. **Filter by birth year:** We filter these `Person` nodes based on their `born` property being less than 1940.
3. **Match to directed movies:** We traverse the `DIRECTED` relationship from these filtered `Person` nodes to the `Movie` nodes.
4. **Return the release years:** We return the distinct release years (`released` property) of these movies.
5. **Limit to 3:** We limit the returned results to a maximum of 3.

```cypher
MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE p.born < 1940
RETURN DISTINCT m.released AS ReleaseYear
LIMIT 3
```"
List the names of people who produced movies reviewed with a rating greater than 90. Limit to 5.,movies,"<explanation>
1. We start by matching the relationship (p:Person)-[:PRODUCED]->(m:Movie) where p represents the people who produced the movie m.
2. Next, we traverse to the people who reviewed the movie m using the relationship (p2:Person)-[:REVIEWED]->(m:Movie).
3. We filter the movies based on reviews with a rating greater than 90.
4. Then, we collect and return the distinct names of the producers.
5. Finally, we limit the result to the top 5 producers.

```cypher
MATCH (p:Person)-[:PRODUCED]->(m:Movie)<-[:REVIEWED]-(p2:Person)
WHERE p2.rating > 90
WITH DISTINCT p.name AS producerName
RETURN producerName
LIMIT 5
```
</explanation>
```cypher
MATCH (p:Person)-[:PRODUCED]->(m:Movie)<-[:REVIEWED]-(p2:Person)
WHERE p2.rating > 90
WITH DISTINCT p.name AS producerName
RETURN producerName
LIMIT 5
```",Evaluation query,"MATCH (p:Person)-[:PRODUCED]->(m:Movie)<-[:REVIEWED]-(p2:Person)
WHERE p2.rating > 90
WITH DISTINCT p.name AS producerName
RETURN producerName
LIMIT 5","1. We start by matching the relationship (p:Person)-[:PRODUCED]->(m:Movie) where p represents the people who produced the movie m.
2. Next, we traverse to the people who reviewed the movie m using the relationship (p2:Person)-[:REVIEWED]->(m:Movie).
3. We filter the movies based on reviews with a rating greater than 90.
4. Then, we collect and return the distinct names of the producers.
5. Finally, we limit the result to the top 5 producers.

```cypher
MATCH (p:Person)-[:PRODUCED]->(m:Movie)<-[:REVIEWED]-(p2:Person)
WHERE p2.rating > 90
WITH DISTINCT p.name AS producerName
RETURN producerName
LIMIT 5
```"
Which movies acted in by Laurence Fishburne were released after 2005? Limit to 3. (Likely no results based on provided data),movies,"<explanation>
1. **Start with Laurence Fishburne:** We begin by finding the `Person` node with the `name` ""Laurence Fishburne"".
2. **Traverse ACTED_IN relationships:** We follow outgoing `ACTED_IN` relationships from Laurence Fishburne to the movies he acted in.
3. **Filter by release year:** We filter for movies released after 2005 using the `released` property of the `Movie` node.
4. **Limit the results:** We limit the results to the top 3 using `LIMIT`.

This query efficiently identifies movies featuring Laurence Fishburne released after 2005.
</explanation>
```cypher
MATCH (p:Person {name: ""Laurence Fishburne""})-[:ACTED_IN]->(m:Movie)
WHERE m.released > 2005
RETURN m.title AS movieTitle
LIMIT 3
```",Evaluation query,"MATCH (p:Person {name: ""Laurence Fishburne""})-[:ACTED_IN]->(m:Movie)
WHERE m.released > 2005
RETURN m.title AS movieTitle
LIMIT 3","1. **Start with Laurence Fishburne:** We begin by finding the `Person` node with the `name` ""Laurence Fishburne"".
2. **Traverse ACTED_IN relationships:** We follow outgoing `ACTED_IN` relationships from Laurence Fishburne to the movies he acted in.
3. **Filter by release year:** We filter for movies released after 2005 using the `released` property of the `Movie` node.
4. **Limit the results:** We limit the results to the top 3 using `LIMIT`.

This query efficiently identifies movies featuring Laurence Fishburne released after 2005."
Which movies released between 1995 and 2005 have more than 1000 votes?,movies,"<explanation>
This Cypher query should find all movies released between 1995 (inclusive) and 2005 (inclusive) which have more than 1000 votes. 

1. **MATCH Clause**: We start by matching all movie nodes (`(m:Movie)`) in the database.
2. **WHERE Clause**:  We filter these movies based on their release year (`m.released`) being between 1995 and 2005 (inclusive), and having more than 1000 votes (`m.votes`).
3. **RETURN Clause**:  For each movie that matches these criteria, we return its title (`m.title`).

```cypher
MATCH (m:Movie)
WHERE m.released >= 1995 AND m.released <= 2005 AND m.votes > 1000
RETURN m.title
```
</explanation>
```cypher
MATCH (m:Movie)
WHERE m.released >= 1995 AND m.released <= 2005 AND m.votes > 1000
RETURN m.title
```",Multi-step Queries,"MATCH (m:Movie)
WHERE m.released >= 1995 AND m.released <= 2005 AND m.votes > 1000
RETURN m.title","This Cypher query should find all movies released between 1995 (inclusive) and 2005 (inclusive) which have more than 1000 votes. 

1. **MATCH Clause**: We start by matching all movie nodes (`(m:Movie)`) in the database.
2. **WHERE Clause**:  We filter these movies based on their release year (`m.released`) being between 1995 and 2005 (inclusive), and having more than 1000 votes (`m.votes`).
3. **RETURN Clause**:  For each movie that matches these criteria, we return its title (`m.title`).

```cypher
MATCH (m:Movie)
WHERE m.released >= 1995 AND m.released <= 2005 AND m.votes > 1000
RETURN m.title
```"
List the names of people who acted in movies directed by Lana Wachowski.,movies,"<explanation>
1. **MATCH** nodes with label `Person` and name 'Lana Wachowski' as `director`.
2. **MATCH** movies (`m`) directed by `director`.
3. **MATCH** people (`p`) who acted in movies (`m`).
4. **RETURN** the names of the actors (`p.name`).
</explanation>
```cypher
MATCH (director:Person {name: 'Lana Wachowski'})-[:DIRECTED]->(m:Movie)
MATCH (p:Person)-[:ACTED_IN]->(m)
RETURN DISTINCT p.name
```",Multi-step Queries,"MATCH (director:Person {name: 'Lana Wachowski'})-[:DIRECTED]->(m:Movie)
MATCH (p:Person)-[:ACTED_IN]->(m)
RETURN DISTINCT p.name","1. **MATCH** nodes with label `Person` and name 'Lana Wachowski' as `director`.
2. **MATCH** movies (`m`) directed by `director`.
3. **MATCH** people (`p`) who acted in movies (`m`).
4. **RETURN** the names of the actors (`p.name`)."
Find the titles of movies produced by Joel Silver after the year 1990.,movies,"<explanation>
This query looks for movies produced after 1990 by Joel Silver. 

1. **MATCH**: We start by finding the person named ""Joel Silver"" and any movies they produced.  
2. **WHERE**: We filter these movies to only include those released after 1990.
3. **RETURN**: Finally, we return the titles of the filtered movies.

</explanation>
```cypher
MATCH (p:Person {name: ""Joel Silver""})-[:PRODUCED]->(m:Movie)
WHERE m.released > 1990
RETURN m.title
```",Multi-step Queries,"MATCH (p:Person {name: ""Joel Silver""})-[:PRODUCED]->(m:Movie)
WHERE m.released > 1990
RETURN m.title","This query looks for movies produced after 1990 by Joel Silver. 

1. **MATCH**: We start by finding the person named ""Joel Silver"" and any movies they produced.  
2. **WHERE**: We filter these movies to only include those released after 1990.
3. **RETURN**: Finally, we return the titles of the filtered movies."
"Who are the people who acted in ""The Matrix"" and were born before 1970?",movies,"<explanation>
This Cypher query first finds the movie with the title ""The Matrix"". Then, it traverses the ACTED_IN relationships from that movie to the Person nodes. Finally, it filters those persons to only include those born before 1970.

1. **MATCH (m:Movie {title: ""The Matrix""})**: This line finds the ""The Matrix"" movie node.
2. **MATCH (m)<-[:ACTED_IN]-(p:Person)**: This line traverses the ACTED_IN relationships backwards from the movie to find the persons who acted in it.
3. **WHERE p.born < 1970**: This line filters the persons to only include those born before 1970.
4. **RETURN p.name**: This line returns the names of the matching persons.
</explanation>
```cypher
MATCH (m:Movie {title: ""The Matrix""})
MATCH (m)<-[:ACTED_IN]-(p:Person)
WHERE p.born < 1970
RETURN p.name
```",Multi-step Queries,"MATCH (m:Movie {title: ""The Matrix""})
MATCH (m)<-[:ACTED_IN]-(p:Person)
WHERE p.born < 1970
RETURN p.name","This Cypher query first finds the movie with the title ""The Matrix"". Then, it traverses the ACTED_IN relationships from that movie to the Person nodes. Finally, it filters those persons to only include those born before 1970.

1. **MATCH (m:Movie {title: ""The Matrix""})**: This line finds the ""The Matrix"" movie node.
2. **MATCH (m)<-[:ACTED_IN]-(p:Person)**: This line traverses the ACTED_IN relationships backwards from the movie to find the persons who acted in it.
3. **WHERE p.born < 1970**: This line filters the persons to only include those born before 1970.
4. **RETURN p.name**: This line returns the names of the matching persons."
What are the taglines of movies released in 1999 and have more than 5000 votes?,movies,"<explanation>
This Cypher query looks for movies  and their taglines where the movie was released in 1999 and has more than 5000 votes. 

1. **MATCH Clause:** We start by matching all `Movie` nodes.
2. **WHERE Clause:** We filter down the movies to only those that were released in 1999 and have more than 5000 votes. 
3. **RETURN Clause:** We return the title and tagline of each movie.

</explanation>
```cypher
MATCH (m:Movie)
WHERE m.released = 1999 AND m.votes > 5000
RETURN m.title, m.tagline
```",Multi-step Queries,"MATCH (m:Movie)
WHERE m.released = 1999 AND m.votes > 5000
RETURN m.title, m.tagline","This Cypher query looks for movies  and their taglines where the movie was released in 1999 and has more than 5000 votes. 

1. **MATCH Clause:** We start by matching all `Movie` nodes.
2. **WHERE Clause:** We filter down the movies to only those that were released in 1999 and have more than 5000 votes. 
3. **RETURN Clause:** We return the title and tagline of each movie."
Which movies did Keanu Reeves act in and were released after 2000?,movies,"<explanation>
This query looks for movies that Keanu Reeves acted in that were released after the year 2000. 
1. **MATCH (p:Person {name: ""Keanu Reeves""})-[:ACTED_IN]->(m:Movie)**: This matches the person node with the name ""Keanu Reeves"" to all movie nodes that he has an ACTED_IN relationship with.
2. **WHERE m.released > 2000**: This filters the returned movies to only include those released after the year 2000.
3. **RETURN m.title**: This returns the title of each of the matching movies. 
</explanation>
```cypher
MATCH (p:Person {name: ""Keanu Reeves""})-[:ACTED_IN]->(m:Movie)
WHERE m.released > 2000
RETURN m.title
```",Multi-step Queries,"MATCH (p:Person {name: ""Keanu Reeves""})-[:ACTED_IN]->(m:Movie)
WHERE m.released > 2000
RETURN m.title","This query looks for movies that Keanu Reeves acted in that were released after the year 2000. 
1. **MATCH (p:Person {name: ""Keanu Reeves""})-[:ACTED_IN]->(m:Movie)**: This matches the person node with the name ""Keanu Reeves"" to all movie nodes that he has an ACTED_IN relationship with.
2. **WHERE m.released > 2000**: This filters the returned movies to only include those released after the year 2000.
3. **RETURN m.title**: This returns the title of each of the matching movies."
List the names of people who directed movies with more than 2000 votes.,movies,"<explanation>
This query starts with a match on movies with more than 2000 votes. It then traverses the `DIRECTED` relationship to find the directors of those movies. Finally, it returns the names of those directors. 

1. **MATCH (m:Movie) WHERE m.votes > 2000**: This finds all movies with more than 2000 votes.
2. **MATCH (p:Person)-[:DIRECTED]->(m)**: This part of the query finds all people who directed those movies.
3. **RETURN DISTINCT p.name**: This returns the names of the directors, making sure each name is returned only once.
</explanation>
```cypher
MATCH (m:Movie) WHERE m.votes > 2000
MATCH (p:Person)-[:DIRECTED]->(m)
RETURN DISTINCT p.name
```",Multi-step Queries,"MATCH (m:Movie) WHERE m.votes > 2000
MATCH (p:Person)-[:DIRECTED]->(m)
RETURN DISTINCT p.name","This query starts with a match on movies with more than 2000 votes. It then traverses the `DIRECTED` relationship to find the directors of those movies. Finally, it returns the names of those directors. 

1. **MATCH (m:Movie) WHERE m.votes > 2000**: This finds all movies with more than 2000 votes.
2. **MATCH (p:Person)-[:DIRECTED]->(m)**: This part of the query finds all people who directed those movies.
3. **RETURN DISTINCT p.name**: This returns the names of the directors, making sure each name is returned only once."
Find the titles of movies reviewed by people born after 1960.,movies,"<explanation>
1. We need to find `Person` nodes where `born` property is greater than 1960.
2. Then we need to traverse `REVIEWED` relationships from those `Person` nodes to `Movie` nodes.
3. Finally, we will return the `title` property of those `Movie` nodes.

```cypher
MATCH (p:Person)-[:REVIEWED]->(m:Movie)
WHERE p.born > 1960
RETURN m.title
```
</explanation>
```cypher
MATCH (p:Person)-[:REVIEWED]->(m:Movie)
WHERE p.born > 1960
RETURN m.title
```",Multi-step Queries,"MATCH (p:Person)-[:REVIEWED]->(m:Movie)
WHERE p.born > 1960
RETURN m.title","1. We need to find `Person` nodes where `born` property is greater than 1960.
2. Then we need to traverse `REVIEWED` relationships from those `Person` nodes to `Movie` nodes.
3. Finally, we will return the `title` property of those `Movie` nodes.

```cypher
MATCH (p:Person)-[:REVIEWED]->(m:Movie)
WHERE p.born > 1960
RETURN m.title
```"
Who are the people who produced and directed the same movie?,movies,"<explanation>
To identify the people who both produced and directed the same movie, we can start by finding people who have a PRODUCED relationship with a movie. Then, we'll check if those same people also have a DIRECTED relationship with the same movie. If both conditions are met, we'll return the names of those people.

1. **Matching the pattern**: We start by matching the pattern where a person has both PRODUCED and DIRECTED the same movie. 
2. **Return**:  We will return the name of each person.

```cypher
MATCH (p:Person)-[:PRODUCED]->(m:Movie)<-[:DIRECTED]-(p)
RETURN DISTINCT p.name
```
</explanation>
```cypher
MATCH (p:Person)-[:PRODUCED]->(m:Movie)<-[:DIRECTED]-(p)
RETURN DISTINCT p.name
```",Multi-step Queries,"MATCH (p:Person)-[:PRODUCED]->(m:Movie)<-[:DIRECTED]-(p)
RETURN DISTINCT p.name","To identify the people who both produced and directed the same movie, we can start by finding people who have a PRODUCED relationship with a movie. Then, we'll check if those same people also have a DIRECTED relationship with the same movie. If both conditions are met, we'll return the names of those people.

1. **Matching the pattern**: We start by matching the pattern where a person has both PRODUCED and DIRECTED the same movie. 
2. **Return**:  We will return the name of each person.

```cypher
MATCH (p:Person)-[:PRODUCED]->(m:Movie)<-[:DIRECTED]-(p)
RETURN DISTINCT p.name
```"
What are the release years of movies acted in by people born in 1964?,movies,"<explanation>
This query identifies the release years of movies acted in by people born in 1964.

1. **MATCH (person:Person)-[:ACTED_IN]->(movie:Movie)**: This part finds all persons who acted in movies, represented by the `ACTED_IN` relationship.
2. **WHERE person.born = 1964**: This filters the results to only include persons born in 1964.
3. **RETURN DISTINCT movie.released**: This returns the unique release years of the movies found in the previous steps. The `DISTINCT` keyword ensures that each release year is returned only once, even if multiple actors born in 1964 acted in movies released in that year.

</explanation>
```cypher
MATCH (person:Person)-[:ACTED_IN]->(movie:Movie)
WHERE person.born = 1964
RETURN DISTINCT movie.released
```",Multi-step Queries,"MATCH (person:Person)-[:ACTED_IN]->(movie:Movie)
WHERE person.born = 1964
RETURN DISTINCT movie.released","This query identifies the release years of movies acted in by people born in 1964.

1. **MATCH (person:Person)-[:ACTED_IN]->(movie:Movie)**: This part finds all persons who acted in movies, represented by the `ACTED_IN` relationship.
2. **WHERE person.born = 1964**: This filters the results to only include persons born in 1964.
3. **RETURN DISTINCT movie.released**: This returns the unique release years of the movies found in the previous steps. The `DISTINCT` keyword ensures that each release year is returned only once, even if multiple actors born in 1964 acted in movies released in that year."
List the names of people who wrote and directed movies released before 2005.,movies,"<explanation>
This query starts by finding all `Person` nodes that have both `WROTE` and `DIRECTED` relationships to `Movie` nodes. It then filters these `Movie` nodes to only include those released before 2005. Finally, the query returns the `name` property of the `Person` nodes.
</explanation>
```cypher
MATCH (p:Person)-[:WROTE]->(m:Movie),
      (p)-[:DIRECTED]->(m)
WHERE m.released < 2005
RETURN DISTINCT p.name
```",Multi-step Queries,"MATCH (p:Person)-[:WROTE]->(m:Movie),
      (p)-[:DIRECTED]->(m)
WHERE m.released < 2005
RETURN DISTINCT p.name","This query starts by finding all `Person` nodes that have both `WROTE` and `DIRECTED` relationships to `Movie` nodes. It then filters these `Movie` nodes to only include those released before 2005. Finally, the query returns the `name` property of the `Person` nodes."
Find the titles of movies with a rating of at least 80 and reviewed by people born before 1980.,movies,"<explanation>
1. **Match reviewed movies:** Start by matching all `REVIEWED` relationships between `Person` nodes and `Movie` nodes.
2. **Filter by rating and birth year:** Filter these relationships based on the conditions that the `rating` property is at least 80 and the `born` property of the `Person` node is less than 1980.
3. **Return the movie titles:** Return the `title` property of the `Movie` nodes connected to the remaining relationships.

```cypher
MATCH (p:Person)-[r:REVIEWED]->(m:Movie)
WHERE r.rating >= 80 AND p.born < 1980
RETURN m.title
```
</explanation>
```cypher
MATCH (p:Person)-[r:REVIEWED]->(m:Movie)
WHERE r.rating >= 80 AND p.born < 1980
RETURN m.title
```",Multi-step Queries,"MATCH (p:Person)-[r:REVIEWED]->(m:Movie)
WHERE r.rating >= 80 AND p.born < 1980
RETURN m.title","1. **Match reviewed movies:** Start by matching all `REVIEWED` relationships between `Person` nodes and `Movie` nodes.
2. **Filter by rating and birth year:** Filter these relationships based on the conditions that the `rating` property is at least 80 and the `born` property of the `Person` node is less than 1980.
3. **Return the movie titles:** Return the `title` property of the `Movie` nodes connected to the remaining relationships.

```cypher
MATCH (p:Person)-[r:REVIEWED]->(m:Movie)
WHERE r.rating >= 80 AND p.born < 1980
RETURN m.title
```"
"Who directed movies with ""Dark, but compelling"" reviews?",movies,"<explanation>
1. **Find movies with the target review:** Start by matching all `Movie` nodes connected to a `REVIEWED` relationship where the `summary` property is ""Dark, but compelling"".
2. **Find the directors:** Traverse the `DIRECTED` relationship in reverse from those movies to find the `Person` nodes who directed them.
3. **Return the directors:** Return the `name` property of the directors.

```cypher
MATCH (m:Movie)<-[r:REVIEWED]-(p:Person)
WHERE r.summary = ""Dark, but compelling""
MATCH (m)<-[:DIRECTED]-(d:Person)
RETURN DISTINCT d.name
```
</explanation>
```cypher
MATCH (m:Movie)<-[r:REVIEWED]-(p:Person)
WHERE r.summary = ""Dark, but compelling""
MATCH (m)<-[:DIRECTED]-(d:Person)
RETURN DISTINCT d.name
```",Multi-step Queries,"MATCH (m:Movie)<-[r:REVIEWED]-(p:Person)
WHERE r.summary = ""Dark, but compelling""
MATCH (m)<-[:DIRECTED]-(d:Person)
RETURN DISTINCT d.name","1. **Find movies with the target review:** Start by matching all `Movie` nodes connected to a `REVIEWED` relationship where the `summary` property is ""Dark, but compelling"".
2. **Find the directors:** Traverse the `DIRECTED` relationship in reverse from those movies to find the `Person` nodes who directed them.
3. **Return the directors:** Return the `name` property of the directors.

```cypher
MATCH (m:Movie)<-[r:REVIEWED]-(p:Person)
WHERE r.summary = ""Dark, but compelling""
MATCH (m)<-[:DIRECTED]-(d:Person)
RETURN DISTINCT d.name
```"
"What are the taglines of movies with ""An amazing journey"" reviews?",movies,"<explanation>
This query identifies movies with the review ""An amazing journey"" and returns the taglines of those movies.

1. **MATCH (m:Movie)<-[r:REVIEWED]-(p:Person)** - This part finds all movies (""m"") that have been reviewed by a person (""p"") through the ""REVIEWED"" relationship (""r"").

2. **WHERE r.summary = ""An amazing journey""** - This filters the results to only include reviews where the summary is ""An amazing journey"".

3. **RETURN m.tagline** - This returns the tagline of each movie that passed the filter.
</explanation>
```cypher
MATCH (m:Movie)<-[r:REVIEWED]-(p:Person)
WHERE r.summary = ""An amazing journey""
RETURN m.tagline
```",Multi-step Queries,"MATCH (m:Movie)<-[r:REVIEWED]-(p:Person)
WHERE r.summary = ""An amazing journey""
RETURN m.tagline","This query identifies movies with the review ""An amazing journey"" and returns the taglines of those movies.

1. **MATCH (m:Movie)<-[r:REVIEWED]-(p:Person)** - This part finds all movies (""m"") that have been reviewed by a person (""p"") through the ""REVIEWED"" relationship (""r"").

2. **WHERE r.summary = ""An amazing journey""** - This filters the results to only include reviews where the summary is ""An amazing journey"".

3. **RETURN m.tagline** - This returns the tagline of each movie that passed the filter."
